Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
93	40	0	1.40952249	293.200015	293.200015	293.200015	293.200016	7.73413433e-07	2.93200015e-06	0	0	0.0064118	0	0	3
94	40	0	1.42467864	293.200015	293.200015	293.200015	293.200016	7.73413433e-07	2.93200015e-06	0	0	0.00641631	0	0	3
95	40	0	1.4398348	293.200015	293.200015	293.200015	293.200016	7.73413433e-07	2.93200015e-06	0	0	0.00641524	0	0	3
96	41	0	1.45499096	293.200015	293.200015	293.200015	293.200016	7.73413433e-07	2.93200015e-06	0	0	0.00640617	0	0	3
97	41	0	1.47014711	293.200015	293.200015	293.200015	293.200016	6.71917803e-07	2.93200015e-06	0	0	0.00638851	0	0	3
98	42	0	1.48530327	293.200015	293.200015	293.200015	293.200016	5.68970961e-07	2.93200015e-06	0	0	0.00640068	0	0	3
99	42	0	1.50045942	293.200015	293.200015	293.200015	293.200016	4.75366562e-07	2.93200015e-06	0	0	0.00639952	0	0	3
100	42	0	1.51561558	293.200015	293.200015	293.200015	293.200016	3.90982393e-07	2.93200015e-06	0	0	0.00641045	0	0	3
101	43	0	1.53077173	293.200015	293.200015	293.200015	293.200016	3.16780074e-07	2.93200015e-06	0	0	0.00639849	0	0	3
102	44	0	1.54592789	293.200015	293.200015	293.200015	293.200016	2.53622318e-07	2.93200015e-06	0	0	0.00640592	0	0	3
